uniqid,ew,y,east,nw,south,age,female,occupation,form_educ,pmi,det_risk,sanct,tax_mor,fin_diff,resp_coop,wex
10000008,0,NA,0,1,0,32,1,3,3,1,3,2,8.4,3,3,7664.723633
10000011,0,NA,0,1,0,58,1,3,3,1,3,2,9.2,3,3,5823.275391
10000045,0,NA,0,1,0,33,0,4,3,1,3,2,7.6,3,3,8936.307617
10000086,0,NA,0,1,0,44,0,3,3,0,2,2,10,3,3,6925.07373
10000089,0,NA,0,1,0,40,0,3,3,0,3,2,6.8,3,3,6925.07373
10000091,0,NA,0,1,0,39,0,4,3,0,4,2,9.2,3,3,8936.307617
10000099,0,NA,0,1,0,51,1,4,2,0,2,1,6,2,3,7497.647949
10000105,0,NA,0,1,0,38,0,2,3,0,2,2,7.6,2,3,8936.307617
10000135,0,NA,0,1,0,31,0,4,3,0,2,2,3,3,3,8936.307617
10000137,0,NA,0,1,0,43,0,3,3,0,2,2,5.6,3,3,6925.07373
10000139,0,NA,0,1,0,34,1,4,3,0,3,2,8.4,3,3,7664.723633
10000140,0,NA,0,1,0,36,0,4,3,1,2,2,10,1,3,8936.307617
10000155,0,NA,0,1,0,42,0,4,3,1,2,2,9.6,3,3,6925.07373
10000156,0,NA,0,1,0,61,1,3,3,1,2,2,10,3,3,5823.275391
10000157,0,NA,0,1,0,36,0,3,3,0,1,2,10,2,3,8936.307617
10000158,0,NA,0,1,0,52,1,4,3,1,3,2,9.4,3,3,7497.647949
10000159,0,NA,0,1,0,35,1,4,3,1,2,2,7.8,3,3,7664.723633
10000167,0,NA,0,1,0,38,0,2,3,1,2,1,5.8,2,1,8936.307617
10000190,0,NA,0,1,0,36,1,4,3,0,3,2,9,3,2,7664.723633
10000193,0,NA,0,1,0,51,0,3,3,0,2,2,7.2,2,2,6925.07373
10000198,0,NA,0,1,0,35,0,3,3,1,2,1,5,2,2,8936.307617
10000200,0,NA,0,1,0,43,0,2,3,0,2,2,3.8,3,2,6925.07373
10000206,1,0.2,0,1,0,46,0,3,2,1,3,1,7.4,2,3,6925.07373
10000214,0,NA,0,1,0,40,1,4,2,1,4,1,5.4,2,3,7497.647949
10000217,0,NA,0,1,0,34,1,4,3,1,4,2,4.2,2,3,7664.723633
10000220,0,NA,0,1,0,32,0,3,3,1,3,1,6.8,2,3,8936.307617
10000236,0,NA,0,1,0,38,0,3,3,1,3,2,4,2,2,8936.307617
10000258,0,NA,0,1,0,44,0,4,3,1,2,1,8.6,1,3,6925.07373
10000274,0,NA,0,1,0,30,0,3,3,1,2,1,6,1,3,8936.307617
10000277,1,0.3,0,1,0,33,0,4,2,1,1,1,4.6,2,2,8936.307617
10000297,0,NA,0,1,0,30,1,4,3,1,2,2,9,2,3,7664.723633
10000298,0,NA,0,1,0,49,1,2,3,0,2,2,10,2,3,7497.647949
10000307,0,NA,0,1,0,38,0,3,2,1,3,2,3.4,2,3,8936.307617
10000334,0,NA,0,1,0,29,0,4,1,1,2,2,10,2,1,8936.307617
10000338,0,NA,0,1,0,60,0,4,1,1,2,2,6.8,2,3,6362.434082
10000352,0,NA,0,1,0,56,0,4,2,1,2,2,9.2,2,2,6362.434082
10000354,0,NA,0,1,0,46,0,3,3,1,2,2,8.2,3,3,6925.07373
10000357,0,NA,0,1,0,39,1,4,2,1,3,2,3.6,2,3,7664.723633
10000371,1,NA,0,1,0,55,1,4,3,1,3,1,6.2,3,3,5823.275391
10000486,1,0.6,0,1,0,27,1,3,3,1,3,2,7,3,3,7664.723633
10000487,0,NA,0,1,0,26,1,3,3,0,3,2,8.8,3,3,7664.723633
10000493,0,NA,0,1,0,71,1,3,3,1,3,2,10,3,3,6072.534668
10000502,0,NA,0,1,0,66,1,2,2,0,2,2,10,2,3,6072.534668
10000505,0,NA,0,1,0,37,1,3,3,1,2,2,7.2,3,3,7664.723633
10000519,0,NA,0,1,0,41,1,3,3,1,1,2,5,3,3,7497.647949
10000615,0,NA,0,1,0,50,1,4,3,0,2,2,9.2,2,3,11098.361328
10000617,0,NA,0,1,0,54,1,4,3,0,3,2,4,3,3,11098.361328
10000619,0,NA,0,1,0,22,0,4,2,1,2,2,7.6,2,3,12027.665039
10000694,0,NA,0,1,0,32,1,4,2,1,3,1,9.6,2,3,11362.973633
10000695,0,NA,0,1,0,61,1,4,2,0,2,2,9.2,3,3,8784.584961
10000700,0,NA,0,1,0,41,0,2,3,0,3,2,8,3,3,10374.064453
10000751,0,NA,0,1,0,57,1,4,3,0,3,1,7.8,1,2,8784.584961
10000752,0,NA,0,1,0,58,1,3,3,0,2,2,10,3,3,8784.584961
10000754,0,NA,0,1,0,28,0,4,2,1,2,2,7.8,3,2,13104.175781
10000776,0,NA,0,1,0,60,0,4,1,1,2,2,8,3,3,9600.095703
10000800,0,NA,0,1,0,61,1,4,1,0,3,2,8.6,2,3,8784.584961
10000819,0,NA,0,1,0,43,1,3,3,0,4,2,9.8,3,2,11098.361328
10000836,0,NA,0,1,0,52,1,3,3,0,2,2,10,2,2,11098.361328
10000840,0,NA,0,1,0,58,1,3,2,0,4,2,10,1,3,8784.584961
10000904,0,NA,0,1,0,44,1,3,3,0,4,2,8.4,1,2,15678.049805
10000906,0,NA,0,1,0,47,0,3,2,0,3,2,9.2,3,3,14734.295898
10001108,0,NA,0,1,0,35,0,4,3,0,1,2,7.8,2,3,18409.064453
10001206,0,NA,0,1,0,56,0,4,1,0,2,2,6.4,2,3,13686.68457
10001231,0,NA,0,1,0,47,1,2,3,1,3,2,9.2,3,3,15678.049805
10001364,0,NA,0,1,0,41,0,4,2,0,1,2,8.6,2,3,14734.295898
10001367,0,NA,0,1,0,44,1,3,2,1,2,2,6,2,3,15678.049805
10001368,0,NA,0,1,0,26,0,3,1,1,2,2,6.6,2,3,18409.064453
10001369,0,NA,0,1,0,57,0,4,1,1,4,2,9.2,3,3,13686.68457
10001381,0,NA,0,1,0,47,0,3,2,1,2,1,6.2,3,3,14734.295898
10001390,0,NA,0,1,0,28,0,2,3,0,3,1,7.6,3,3,18409.064453
10001396,0,NA,0,1,0,27,0,4,2,0,3,2,6.8,3,3,18409.064453
10001416,0,NA,0,1,0,50,1,2,3,1,4,2,8,2,3,12628.235352
10001417,0,NA,0,1,0,54,0,4,2,0,1,1,10,3,3,11846.138672
10001438,0,NA,0,1,0,52,1,2,3,0,2,2,9.4,2,3,12628.235352
10001441,0,NA,0,1,0,34,0,2,3,0,3,2,7.6,3,3,14874.27832
10001445,0,NA,0,1,0,42,1,3,3,1,1,1,9.4,3,3,12628.235352
10001449,0,NA,0,1,0,38,1,3,3,0,3,2,10,3,3,12936.197266
10001467,0,NA,0,1,0,26,1,4,3,1,1,2,9,1,3,12936.197266
10001527,0,NA,0,1,0,48,1,4,3,1,2,2,9.2,3,3,12628.235352
10001538,0,NA,0,1,0,53,1,2,3,1,4,2,10,3,3,12628.235352
10001562,0,NA,0,1,0,40,0,4,2,1,2,1,7.4,2,2,11846.138672
10001583,0,NA,0,1,0,39,0,3,3,1,4,1,6.4,3,2,14874.27832
10001585,0,NA,0,1,0,36,1,3,3,1,1,2,9.4,3,3,12936.197266
10001588,0,NA,0,1,0,38,1,3,2,1,3,1,7.6,2,2,12936.197266
10001590,0,NA,0,1,0,40,1,3,2,1,3,1,8.6,3,3,12628.235352
10001682,0,NA,0,1,0,45,0,4,2,1,1,2,10,2,2,11846.138672
10001684,0,NA,0,1,0,54,0,4,2,0,2,2,10,3,3,11846.138672
10001686,0,NA,0,1,0,45,0,4,2,0,4,2,8.6,3,3,11846.138672
10001687,0,NA,0,1,0,37,0,4,2,0,1,2,10,3,3,14874.27832
10001762,0,NA,0,1,0,47,0,3,3,1,3,2,1.4,3,3,9221.691406
10001777,0,NA,0,1,0,50,1,2,3,0,3,2,8.8,3,3,9888.189453
10001892,0,NA,0,1,0,33,0,4,3,1,3,2,8,3,3,9496.238281
10001902,0,NA,0,1,0,42,1,2,3,0,2,2,10,3,3,7999.778809
10002183,0,NA,0,1,0,47,0,4,2,1,1,1,5.4,2,3,10699.18457
10002193,0,NA,0,1,0,49,0,3,3,0,4,1,10,3,3,10699.18457
10002248,0,NA,0,1,0,50,0,3,2,0,3,2,6,3,3,10699.18457
10002268,0,NA,0,1,0,29,1,3,3,1,3,1,6.4,2,2,11699.834961
10002276,0,NA,0,1,0,44,1,3,3,1,2,1,7.4,3,2,11421.675781
10002338,0,NA,0,1,0,29,1,3,3,0,3,2,5.6,2,3,11699.834961
10002339,0,NA,0,1,0,28,1,3,3,0,3,2,7.2,3,3,11699.834961
10002372,0,NA,0,1,0,40,0,3,2,0,3,2,4.8,3,2,10699.18457
10002392,1,NA,0,1,0,20,0,4,2,1,3,2,10,3,3,12378.975586
10002493,0,NA,0,1,0,45,0,2,3,1,4,2,8.4,3,3,4815.400879
10002496,0,NA,0,1,0,59,0,3,3,1,1,2,8.4,2,3,4411.708984
10002500,0,NA,0,1,0,56,0,4,3,1,2,2,9.4,2,2,4411.708984
10002520,0,NA,0,1,0,49,0,3,2,0,3,2,9.2,3,3,4815.400879
10002528,0,NA,0,1,0,42,0,3,3,1,3,2,7.2,2,3,7089.44043
10002531,0,NA,0,1,0,56,1,3,2,0,3,3,8.4,3,3,5964.161133
10002535,0,NA,0,1,0,33,0,2,3,1,4,2,8,2,3,9090.740234
10002545,0,NA,0,1,0,39,0,4,3,0,3,2,8.6,2,2,9090.740234
10002548,0,NA,0,1,0,51,1,3,2,1,2,2,9.2,3,3,7640.339844
10002551,0,NA,0,1,0,48,0,2,2,1,2,2,8.8,2,3,7089.44043
10002567,0,NA,0,1,0,57,0,2,3,1,3,2,8,3,3,6527.704102
10002568,0,NA,0,1,0,39,1,4,2,0,3,2,8.6,3,3,7819.15625
10002571,0,NA,0,1,0,21,0,3,2,1,2,2,8.6,2,3,8302.322266
10002581,0,NA,0,1,0,26,1,3,3,0,3,2,9,3,3,7819.15625
10002583,0,NA,0,1,0,45,0,4,3,0,3,2,9.6,3,3,7089.44043
10002592,0,NA,0,1,0,38,0,3,3,1,2,2,9,3,3,9090.740234
